"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"lts__t_requests_aperture_sysmem_op_membar_lookup_miss","# of LTS requests accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_requests_aperture_sysmem_op_read","# of LTS requests accessing system memory (sysmem) for reads","1","1"
"lts__t_requests_aperture_sysmem_op_read_lookup_hit","# of LTS requests accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_requests_aperture_sysmem_op_read_lookup_miss","# of LTS requests accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_requests_aperture_sysmem_op_red","# of LTS requests accessing system memory (sysmem) for reductions","1","1"
"lts__t_requests_aperture_sysmem_op_red_lookup_hit","# of LTS requests accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_requests_aperture_sysmem_op_red_lookup_miss","# of LTS requests accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_requests_aperture_sysmem_op_write","# of LTS requests accessing system memory (sysmem) for writes","1","1"
"lts__t_requests_aperture_sysmem_op_write_lookup_hit","# of LTS requests accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_requests_aperture_sysmem_op_write_lookup_miss","# of LTS requests accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_requests_lookup_hit","# of LTS requests that hit","1","1"
"lts__t_requests_lookup_miss","# of LTS requests that missed","1","1"
"lts__t_requests_op_atom","# of LTS requests for all atomics","1","1"
"lts__t_requests_op_atom_dot_alu","# of LTS requests for atomic ALU (non-CAS)","1","1"
"lts__t_requests_op_atom_dot_alu_lookup_hit","# of LTS requests for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_op_atom_dot_cas","# of LTS requests for atomic CAS","1","1"
"lts__t_requests_op_atom_dot_cas_lookup_hit","# of LTS requests for atomic CAS that hit","1","1"
"lts__t_requests_op_atom_lookup_hit","# of LTS requests for all atomics that hit","1","1"
"lts__t_requests_op_atom_lookup_miss","# of LTS requests for all atomics that missed","1","1"
"lts__t_requests_op_membar","# of LTS requests for memory barriers","1","1"
"lts__t_requests_op_membar_lookup_hit","# of LTS requests for memory barriers that hit","1","1"
"lts__t_requests_op_membar_lookup_miss","# of LTS requests for memory barriers that missed","1","1"
"lts__t_requests_op_read","# of LTS requests for reads","1","1"
"lts__t_requests_op_read_lookup_hit","# of LTS requests for reads that hit","1","1"
"lts__t_requests_op_read_lookup_miss","# of LTS requests for reads that missed","1","1"
"lts__t_requests_op_red","# of LTS requests for reductions","1","1"
"lts__t_requests_op_red_lookup_hit","# of LTS requests for reductions that hit","1","1"
"lts__t_requests_op_red_lookup_miss","# of LTS requests for reductions that missed","1","1"
"lts__t_requests_op_write","# of LTS requests for writes","1","1"
"lts__t_requests_op_write_lookup_hit","# of LTS requests for writes that hit","1","1"
"lts__t_requests_op_write_lookup_miss","# of LTS requests for writes that missed","1","1"
"lts__t_requests_srcnode_gpc","# of LTS requests from node GPC","1","1"
"lts__t_requests_srcnode_gpc_aperture_device","# of LTS requests from node GPC accessing device memory (vidmem)","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom","# of LTS requests from node GPC accessing device memory (vidmem) for all atomics","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_dot_alu","# of LTS requests from node GPC accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_dot_cas","# of LTS requests from node GPC accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_atom_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_membar","# of LTS requests from node GPC accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_membar_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_membar_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_read","# of LTS requests from node GPC accessing device memory (vidmem) for reads","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_read_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_read_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_red","# of LTS requests from node GPC accessing device memory (vidmem) for reductions","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_red_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_red_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_write","# of LTS requests from node GPC accessing device memory (vidmem) for writes","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_write_lookup_hit","# of LTS requests from node GPC accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_device_op_write_lookup_miss","# of LTS requests from node GPC accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer","# of LTS requests from node GPC accessing peer memory (peermem)","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom","# of LTS requests from node GPC accessing peer memory (peermem) for all atomics","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_dot_alu","# of LTS requests from node GPC accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_dot_cas","# of LTS requests from node GPC accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_atom_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_membar","# of LTS requests from node GPC accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_membar_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_membar_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_read","# of LTS requests from node GPC accessing peer memory (peermem) for reads","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_read_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_read_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_red","# of LTS requests from node GPC accessing peer memory (peermem) for reductions","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_red_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_red_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_write","# of LTS requests from node GPC accessing peer memory (peermem) for writes","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_write_lookup_hit","# of LTS requests from node GPC accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_peer_op_write_lookup_miss","# of LTS requests from node GPC accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem","# of LTS requests from node GPC accessing system memory (sysmem)","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom","# of LTS requests from node GPC accessing system memory (sysmem) for all atomics","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_dot_alu","# of LTS requests from node GPC accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_dot_cas","# of LTS requests from node GPC accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_atom_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_membar","# of LTS requests from node GPC accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_membar_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_membar_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_read","# of LTS requests from node GPC accessing system memory (sysmem) for reads","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_read_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_read_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_red","# of LTS requests from node GPC accessing system memory (sysmem) for reductions","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_red_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_red_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_write","# of LTS requests from node GPC accessing system memory (sysmem) for writes","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_write_lookup_hit","# of LTS requests from node GPC accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_requests_srcnode_gpc_aperture_sysmem_op_write_lookup_miss","# of LTS requests from node GPC accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_requests_srcnode_gpc_lookup_hit","# of LTS requests from node GPC that hit","1","1"
"lts__t_requests_srcnode_gpc_lookup_miss","# of LTS requests from node GPC that missed","1","1"
"lts__t_requests_srcnode_gpc_op_atom","# of LTS requests from node GPC for all atomics","1","1"
"lts__t_requests_srcnode_gpc_op_atom_dot_alu","# of LTS requests from node GPC for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcnode_gpc_op_atom_dot_alu_lookup_hit","# of LTS requests from node GPC for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcnode_gpc_op_atom_dot_cas","# of LTS requests from node GPC for atomic CAS","1","1"
"lts__t_requests_srcnode_gpc_op_atom_dot_cas_lookup_hit","# of LTS requests from node GPC for atomic CAS that hit","1","1"
"lts__t_requests_srcnode_gpc_op_atom_lookup_hit","# of LTS requests from node GPC for all atomics that hit","1","1"
"lts__t_requests_srcnode_gpc_op_atom_lookup_miss","# of LTS requests from node GPC for all atomics that missed","1","1"
"lts__t_requests_srcnode_gpc_op_membar","# of LTS requests from node GPC for memory barriers","1","1"
"lts__t_requests_srcnode_gpc_op_membar_lookup_hit","# of LTS requests from node GPC for memory barriers that hit","1","1"
"lts__t_requests_srcnode_gpc_op_membar_lookup_miss","# of LTS requests from node GPC for memory barriers that missed","1","1"
"lts__t_requests_srcnode_gpc_op_read","# of LTS requests from node GPC for reads","1","1"
"lts__t_requests_srcnode_gpc_op_read_lookup_hit","# of LTS requests from node GPC for reads that hit","1","1"
"lts__t_requests_srcnode_gpc_op_read_lookup_miss","# of LTS requests from node GPC for reads that missed","1","1"
"lts__t_requests_srcnode_gpc_op_red","# of LTS requests from node GPC for reductions","1","1"
"lts__t_requests_srcnode_gpc_op_red_lookup_hit","# of LTS requests from node GPC for reductions that hit","1","1"
"lts__t_requests_srcnode_gpc_op_red_lookup_miss","# of LTS requests from node GPC for reductions that missed","1","1"
"lts__t_requests_srcnode_gpc_op_write","# of LTS requests from node GPC for writes","1","1"
"lts__t_requests_srcnode_gpc_op_write_lookup_hit","# of LTS requests from node GPC for writes that hit","1","1"
"lts__t_requests_srcnode_gpc_op_write_lookup_miss","# of LTS requests from node GPC for writes that missed","1","1"
"lts__t_requests_srcunit_l1","# of LTS requests from unit L1","1","1"
"lts__t_requests_srcunit_l1_aperture_device","# of LTS requests from unit L1 accessing device memory (vidmem)","1","1"
"lts__t_requests_srcunit_l1_aperture_device_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read","# of LTS requests from unit L1 accessing device memory (vidmem) for reads","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_red_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write","# of LTS requests from unit L1 accessing device memory (vidmem) for writes","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_hit","# of LTS requests from unit L1 accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_miss","# of LTS requests from unit L1 accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer","# of LTS requests from unit L1 accessing peer memory (peermem)","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read","# of LTS requests from unit L1 accessing peer memory (peermem) for reads","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write","# of LTS requests from unit L1 accessing peer memory (peermem) for writes","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_hit","# of LTS requests from unit L1 accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_miss","# of LTS requests from unit L1 accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem","# of LTS requests from unit L1 accessing system memory (sysmem)","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom","# of LTS requests from unit L1 accessing system memory (sysmem) for all atomics","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_alu","# of LTS requests from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_cas","# of LTS requests from unit L1 accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_membar","# of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_read","# of LTS requests from unit L1 accessing system memory (sysmem) for reads","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_red","# of LTS requests from unit L1 accessing system memory (sysmem) for reductions","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_write","# of LTS requests from unit L1 accessing system memory (sysmem) for writes","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_hit","# of LTS requests from unit L1 accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_miss","# of LTS requests from unit L1 accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_requests_srcunit_l1_lookup_hit","# of LTS requests from unit L1 that hit","1","1"
"lts__t_requests_srcunit_l1_lookup_miss","# of LTS requests from unit L1 that missed","1","1"
"lts__t_requests_srcunit_l1_op_atom","# of LTS requests from unit L1 for all atomics","1","1"
"lts__t_requests_srcunit_l1_op_atom_dot_alu","# of LTS requests from unit L1 for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_l1_op_atom_dot_alu_lookup_hit","# of LTS requests from unit L1 for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_l1_op_atom_dot_cas","# of LTS requests from unit L1 for atomic CAS","1","1"
"lts__t_requests_srcunit_l1_op_atom_dot_cas_lookup_hit","# of LTS requests from unit L1 for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_l1_op_atom_lookup_hit","# of LTS requests from unit L1 for all atomics that hit","1","1"
"lts__t_requests_srcunit_l1_op_atom_lookup_miss","# of LTS requests from unit L1 for all atomics that missed","1","1"
"lts__t_requests_srcunit_l1_op_membar","# of LTS requests from unit L1 for memory barriers","1","1"
"lts__t_requests_srcunit_l1_op_membar_lookup_hit","# of LTS requests from unit L1 for memory barriers that hit","1","1"
"lts__t_requests_srcunit_l1_op_membar_lookup_miss","# of LTS requests from unit L1 for memory barriers that missed","1","1"
"lts__t_requests_srcunit_l1_op_read","# of LTS requests from unit L1 for reads","1","1"
"lts__t_requests_srcunit_l1_op_read_lookup_hit","# of LTS requests from unit L1 for reads that hit","1","1"
"lts__t_requests_srcunit_l1_op_read_lookup_miss","# of LTS requests from unit L1 for reads that missed","1","1"
"lts__t_requests_srcunit_l1_op_red","# of LTS requests from unit L1 for reductions","1","1"
"lts__t_requests_srcunit_l1_op_red_lookup_hit","# of LTS requests from unit L1 for reductions that hit","1","1"
"lts__t_requests_srcunit_l1_op_red_lookup_miss","# of LTS requests from unit L1 for reductions that missed","1","1"
"lts__t_requests_srcunit_l1_op_write","# of LTS requests from unit L1 for writes","1","1"
"lts__t_requests_srcunit_l1_op_write_lookup_hit","# of LTS requests from unit L1 for writes that hit","1","1"
"lts__t_requests_srcunit_l1_op_write_lookup_miss","# of LTS requests from unit L1 for writes that missed","1","1"
"lts__t_requests_srcunit_tex","# of LTS requests from unit TEX","1","1"
"lts__t_requests_srcunit_tex_aperture_device","# of LTS requests from unit TEX accessing device memory (vidmem)","1","1"
"lts__t_requests_srcunit_tex_aperture_device_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom","# of LTS requests from unit TEX accessing device memory (vidmem) for all atomics","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_alu","# of LTS requests from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_cas","# of LTS requests from unit TEX accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_atom_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_membar","# of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers","1","1"
